"","Shom_PJ_029","Shom_PJ_030","Shom_PJ_031","Shom_PJ_032","Shom_PJ_033","Shom_PJ_034","Shom_PJ_035","Shom_PJ_036","Shom_PJ_037"
"Shom_DM21D06_00082",64191,60315,80895,17686,30286,16852,26458,36671,25151
"Shom_DM21D06_00083",10545,10212,13172,4830,6366,5551,6240,9018,7862
"Shom_DM21D06_00084",10432,9689,13354,5201,6323,5571,5240,8115,7717
"Shom_DM21D06_00085",40884,37584,54970,18129,25212,20423,18090,25730,19907
"Shom_DM21D06_00086",43514,41783,30253,34854,42328,33190,31234,42773,34180
"Shom_DM21D06_00087",6743,6973,5147,5072,6934,4599,4757,6771,4599
"Shom_DM21D06_00088",12466,11779,9309,9022,11962,7573,9658,12448,8495
"Shom_DM21D06_00089",33608,32849,38102,21354,31250,21801,23685,34216,24034
"Shom_DM21D06_00090",2294,2324,1865,2811,3238,2586,2631,3294,2357
"Shom_DM21D06_00091",41340,40433,55365,21645,26555,26994,31401,37339,31557
"Shom_DM21D06_00092",34752,33215,38710,15277,24183,13156,20929,29322,22265
"Shom_DM21D06_00093",25467,24143,21772,11255,17842,8523,16177,21019,15150
"Shom_DM21D06_00094",17017,16430,12141,7333,11995,5563,11021,14249,9568
"Shom_DM21D06_00095",22211,20538,18513,8814,13945,6264,10830,15034,9299
"Shom_DM21D06_00096",10028,9120,9440,12038,14131,13041,11939,16665,13061
"Shom_DM21D06_00097",61572,59525,85614,38354,63135,42742,52022,74027,50815
"Shom_DM21D06_00098",10100,9885,14596,7703,12470,9008,10781,15819,10169
"Shom_DM21D06_00099",57110,51239,82678,79989,81653,153278,95152,118583,101097
"Shom_DM21D06_00100",4062,3902,6105,5320,5820,6311,4613,7045,6886
"Shom_DM21D06_00101",4245,4194,5552,4856,5733,5490,4859,7177,6598
"Shom_DM21D06_00102",5695,5755,7222,6046,7226,6036,6160,8936,7730
"Shom_DM21D06_00103",40065,38569,53017,30535,42444,31721,34120,50163,42090
"Shom_DM21D06_00104",13687,13782,16071,12067,15840,11363,11680,17409,13755
"Shom_DM21D06_00105",20524,20001,21976,20898,26162,21523,21462,30335,22657
"Shom_DM21D06_00106",24376,23048,21202,26692,33185,26995,24050,33119,25219
"Shom_DM21D06_00107",9051,8786,9001,11122,12966,12023,9518,13159,10189
"Shom_DM21D06_00108",3336,3201,3628,3366,4162,3810,3341,4778,3534
"Shom_DM21D06_00109",1085,1033,1492,924,1199,1510,1510,1717,1677
"Shom_DM21D06_00110",4726,4303,5961,8991,12002,7148,7550,9722,8576
"Shom_DM21D06_00111",1324,1267,1637,2691,3568,2284,2338,2927,2578
"Shom_DM21D06_00112",32192,31320,29306,45534,51386,43500,35889,52485,42797
"Shom_DM21D06_00113",11022,10834,10716,16572,18711,15968,13218,18337,16340
"Shom_DM21D06_00114",9458,8995,13277,16773,16865,18757,11331,16271,16379
"Shom_DM21D06_00115",40687,41181,59731,66832,62288,76008,46441,70979,74216
"Shom_DM21D06_00116",29738,28386,41850,15567,19169,19089,16201,24524,18934
"Shom_DM21D06_00117",3160,2835,4007,3406,4415,3691,4261,6152,4779
"Shom_DM21D06_00118",3215,2972,3723,2318,3176,2253,5226,7859,4812
"Shom_DM21D06_00119",6018,5872,7059,4595,6229,3848,11948,17765,10358
"Shom_DM21D06_00120",6852,6895,6553,5157,7264,4240,13575,20082,11465
"Shom_DM21D06_00121",37531,36207,33140,30580,41660,24715,79030,119039,62090
"Shom_DM21D06_00122",16037,15681,15627,16262,20467,15229,38521,57693,29651
"Shom_DM21D06_00123",8806,8507,7729,8992,11485,9111,19411,27923,14846
"Shom_DM21D06_00124",6701,6570,5905,4558,6778,4239,15104,21699,8794
"Shom_DM21D06_00125",3351,3083,2806,1381,2604,928,8377,12253,4054
"Shom_DM21D06_00126",10227,9893,13002,3376,4847,3637,9606,14691,6065
"Shom_DM21D06_00127",16574,16228,23823,9761,13305,10685,10671,15773,12736
"Shom_DM21D06_00128",6827,6401,9390,4344,5744,4535,4453,6567,5307
"Shom_DM21D06_00129",3413,3210,4891,3561,3994,4057,2674,4090,4186
"Shom_DM21D06_00130",941,958,1397,1169,1251,1401,806,1255,1307
"Shom_DM21D06_00131",143,129,178,195,193,237,182,225,208
"Shom_DM21D06_00132",2819,2603,2915,2656,3079,4035,3182,4666,3531
"Shom_DM21D06_00133",85019,84004,100317,27788,51721,27186,53045,77275,43884
"Shom_DM21D06_00134",37777,36035,56041,54294,58841,64255,42979,62900,60993
"Shom_DM21D06_00135",12112,11605,17723,16002,16970,20398,12543,18151,18421
"Shom_DM21D06_00136",7851,7568,11092,9315,10837,11340,9587,13609,13892
"Shom_DM21D06_00137",41479,41554,59445,46418,54459,56642,51422,69590,69978
"Shom_DM21D06_00138",20106,18723,26666,23127,28993,23740,27369,39792,37622
"Shom_DM21D06_00139",21512,19273,27020,37740,43128,38131,36100,50903,49492
"Shom_DM21D06_00140",133156,130659,166976,115605,140881,121333,121634,166009,160550
"Shom_DM21D06_00141",84987,84599,104156,74306,94611,69355,84466,116729,107267
"Shom_DM21D06_00142",34728,33771,47944,18699,25983,17974,20193,30861,24288
"Shom_DM21D06_00143",32047,30948,44501,14133,20432,14549,17902,26735,19717
"Shom_DM21D06_00144",8825,8563,11458,3392,5531,3278,5385,7341,5156
"Shom_DM21D06_00145",30253,28964,31012,15754,22167,15239,17760,24024,19507
"Shom_DM21D06_00146",56221,54242,79676,46342,52065,65405,44478,63020,61043
"Shom_DM21D06_00147",53549,52126,68789,51103,54992,57223,43218,58344,57217
"Shom_DM21D06_00148",71679,69014,103895,85298,86657,105306,68587,97147,86205
"Shom_DM21D06_00149",18711,18509,26241,7374,12645,7640,11970,18101,13109
"Shom_DM21D06_00150",3371,3457,5080,4208,4692,5183,4196,6125,5586
"Shom_DM21D06_00151",1568,1638,2704,1101,840,2416,508,628,862
"Shom_DM21D06_00152",3708,4246,8555,2455,1763,5250,818,1241,1768
"Shom_DM21D06_00153",8907,9852,20579,5492,3938,11587,1629,2609,3849
"Shom_DM21D06_00154",2328,2714,4884,1450,991,3207,491,643,1024
"Shom_DM21D06_00155",2405,2698,5340,1512,1045,3348,473,674,1020
"Shom_DM21D06_00156",1066,1086,1610,2690,3462,2593,2090,3165,2859
"Shom_DM21D06_00157",4745,4351,6348,5691,6997,6403,4923,6624,6448
"Shom_DM21D06_00158",833,960,1107,1253,1326,1678,637,1133,1209
"Shom_DM21D06_00159",7155,7001,10845,10270,11253,12313,6265,9333,9022
"Shom_DM21D06_00160",479,476,724,1025,923,1312,508,743,937
"Shom_DM21D06_00162",5921,5842,7226,4697,6642,4793,4857,6952,4758
"Shom_DM21D06_00163",4765,4530,5339,3837,5253,3442,3815,5289,4143
"Shom_DM21D06_00164",4486,4389,3969,4405,5856,4002,4821,6084,4589
"Shom_DM21D06_00165",12775,12434,11367,93677,98938,92640,80791,100917,69362
"Shom_DM21D06_00166",17515,16972,12166,112097,128608,73372,95039,119963,63196
"Shom_DM21D06_00167",6496,6102,5751,45477,50912,36122,40171,53804,27401
"Shom_DM21D06_00168",16714,16460,23507,4714,7413,4435,9606,14127,8575
"Shom_DM21D06_00169",22108,21327,29634,16363,20868,16636,19707,26010,22358
"Shom_DM21D06_00170",16858,16363,16096,11593,16862,10188,12005,16273,14503
"Shom_DM21D06_00171",6771,6746,7273,4021,5888,3692,4444,6101,5468
"Shom_DM21D06_00172",3759,3608,4701,3572,4111,4392,3414,4857,4703
"Shom_DM21D06_00173",1742,1701,2144,1917,2062,2123,1628,2466,2354
"Shom_DM21D06_00174",3928,3788,5593,3410,3864,4360,3267,5096,4780
"Shom_DM21D06_00175",45935,44431,48525,21639,34614,21522,38601,56816,39207
"Shom_DM21D06_00176",15022,14686,15357,5618,10605,5387,12636,18957,10839
"Shom_DM21D06_00177",3806,3971,5522,1664,2534,1875,3000,4763,2987
"Shom_DM21D06_00178",19846,19138,27707,6459,9923,7249,8033,11758,9245
"Shom_DM21D06_00179",75838,75957,104807,19268,33047,19504,29100,40001,29374
"Shom_DM21D06_00180",2359,2193,3158,2071,2472,3289,2450,3806,2568
"Shom_DM21D06_00181",8932,8596,13542,4262,5987,4830,5717,8495,7012
"Shom_DM21D06_00182",7904,7606,12609,5904,7432,6473,5962,8981,8354
"Shom_DM21D06_00183",3482,3073,5364,2849,3098,3346,2474,3724,2602
"Shom_DM21D06_00184",2501,2624,4335,2840,3128,3194,2022,3024,2936
"Shom_DM21D06_00185",5552,5005,9057,3102,3671,5228,3496,5365,4079
"Shom_DM21D06_00186",2445,2358,3101,3345,3690,3624,2585,3449,3523
"Shom_DM21D06_00187",8596,8144,12682,13395,12744,14113,7289,11515,12538
"Shom_DM21D06_00188",53326,50145,76004,42788,50220,53644,37573,54756,45121
"Shom_DM21D06_00189",70281,68466,99251,69447,80072,87474,59171,87565,69902
"Shom_DM21D06_00190",11985,11696,15292,24345,26614,31550,19233,26219,21827
"Shom_DM21D06_00191",97500,94205,97816,138824,108457,139135,68828,86963,142068
"Shom_DM21D06_00192",11991,11385,15861,6671,8578,9598,8251,12346,13701
"Shom_DM21D06_00193",61660,58858,95938,72631,68245,92586,64994,92534,100796
"Shom_DM21D06_00194",5021,4794,6314,7831,10307,8231,8661,12213,9537
"Shom_DM21D06_00195",2311,2142,2876,2469,3052,2544,2576,3322,3020
"Shom_DM21D06_00196",90230,90569,104054,65510,79743,59707,55165,76959,56631
"Shom_DM21D06_00197",421,313,445,913,888,1403,835,990,823
"Shom_DM21D06_00198",10694,9989,9493,28631,33832,19419,14479,17414,16229
"Shom_DM21D06_00199",3866,3623,5629,6987,6296,7836,4744,6698,7732
"Shom_DM21D06_00200",29778,28874,42352,237989,206371,339271,173431,274110,297828
"Shom_DM21D06_00201",50196,49976,76290,27380,30607,42209,21133,31303,32782
"Shom_DM21D06_00202",8177,7894,11678,2653,3560,3272,2662,4232,3351
"Shom_DM21D06_00203",6092,5882,9097,1884,2342,2147,2183,3326,2569
"Shom_DM21D06_00204",6772,6482,9995,2222,2909,2372,2227,3761,2679
"Shom_DM21D06_00205",7099,6765,9510,2653,3368,2570,2549,4134,3045
"Shom_DM21D06_00206",4970,4671,7178,2216,2682,2013,2216,3269,2497
"Shom_DM21D06_00207",3002,3042,2231,2058,3309,1574,3735,4886,2410
"Shom_DM21D06_00208",405538,393252,218088,314306,492731,197985,557404,723043,295829
"Shom_DM21D06_00209",603490,590695,303003,480591,746778,250107,852478,1101346,375862
"Shom_DM21D06_00210",383824,383434,208306,397157,565749,304226,695437,842411,423936
"Shom_DM21D06_00211",624416,599560,381366,603080,890659,463316,960529,1258758,628417
"Shom_DM21D06_00212",35374,34912,48451,12213,21521,11488,16586,25417,16897
"Shom_DM21D06_00213",16116,14668,20253,19556,24540,19642,17507,23634,21882
"Shom_DM21D06_00214",7272,7133,10452,6756,7575,8725,8442,12058,10755
"Shom_DM21D06_00215",131312,127631,195597,79606,101743,113228,105909,155901,129096
"Shom_DM21D06_00216",215,216,249,422,348,439,241,301,369
"Shom_DM21D06_00217",107,106,126,167,153,187,92,125,145
"Shom_DM21D06_00218",8414,8890,11800,12071,11933,13882,9869,13521,13278
"Shom_DM21D06_00219",10617,10426,13021,12373,12814,17964,10828,16544,16456
"Shom_DM21D06_00220",6042,5948,6560,4521,4997,6176,3678,5736,5206
"Shom_DM21D06_00221",89,102,76,41,49,51,27,62,55
"Shom_DM21D06_00222",238133,228563,294753,247508,296547,387433,296161,386800,356425
"Shom_DM21D06_00223",17161,15546,21949,19520,22467,26708,21238,30026,27196
"Shom_DM21D06_00224",5438,5064,6409,5487,7804,5660,5475,8096,6631
"Shom_DM21D06_00225",8300,7890,10516,7233,9416,7094,7630,11182,9098
"Shom_DM21D06_00226",93319,90324,134782,57837,86647,65946,89405,134504,99718
"Shom_DM21D06_00227",3366,2535,5839,8277,7138,23549,4582,6629,6807
"Shom_DM21D06_00228",18738,17516,15904,54414,56213,36190,73621,96478,73203
"Shom_DM21D06_00229",32462,31510,37292,60802,66369,54799,114656,171584,136352
"Shom_DM21D06_00230",18807,18277,26205,23638,27722,29488,46241,77327,58226
"Shom_DM21D06_00231",6081,5622,3768,5776,10940,5453,15534,21022,8163
"Shom_DM21D06_00232",6828,6616,4049,7018,13568,6317,18720,25799,9206
"Shom_DM21D06_00233",3428,3456,2006,3190,6871,2782,9870,13575,4233
"Shom_DM21D06_00234",8108,7460,4408,5044,14807,2278,20795,30433,7575
"Shom_DM21D06_00235",12003,11606,6546,7702,23971,4114,30092,44800,12567
"Shom_DM21D06_00236",9027,8780,5883,7223,22081,5338,30176,44812,13934
"Shom_DM21D06_00237",2279,2316,1782,1674,5383,1520,7666,11524,3695
"Shom_DM21D06_00238",1237,1218,1103,1077,3381,1036,4111,6472,2042
"Shom_DM21D06_00239",1379,1471,1352,1572,4319,1643,5633,8626,2659
"Shom_DM21D06_00240",8022,7512,8768,9521,21890,10540,26541,41861,14018
"Shom_DM21D06_00241",945,930,990,1477,2782,1684,3397,4797,1890
"Shom_DM21D06_00242",13749,12560,19488,8492,9964,14250,5748,8577,8540
"Shom_DM21D06_00243",75839,71268,114864,203195,212960,207572,123726,166589,115975
"Shom_DM21D06_00244",5551,5160,6312,7815,8643,6022,7011,9081,6808
"Shom_DM21D06_00245",352563,339910,196521,664664,623780,326104,383087,514051,245892
"Shom_DM21D06_00246",578691,541645,337339,931979,893650,586239,617605,815811,445148
"Shom_DM21D06_00247",182008,173407,133087,292544,276147,224108,191446,263356,171470
"Shom_DM21D06_00248",82223,75249,65132,135947,128877,119494,94152,126889,81930
"Shom_DM21D06_00249",3648,3424,4883,4122,4681,5709,4226,6022,5317
"Shom_DM21D06_00250",4093,3892,5808,2840,3883,2201,2072,3601,2585
"Shom_DM21D06_00251",40561,38164,60030,21960,27756,29749,23103,36600,28439
"Shom_DM21D06_00252",8913,8866,11917,4310,5518,6734,5143,7850,6305
"Shom_DM21D06_00253",11607,10902,15881,4937,6189,7295,5540,8792,7242
"Shom_DM21D06_00254",360619,346694,407898,251558,274766,339496,254865,391674,297582
"Shom_DM21D06_00255",17563,16779,28453,40916,37233,48472,24764,37768,32665
"Shom_DM21D06_00256",10478,10025,15825,14285,15174,15889,11242,17516,15665
"Shom_DM21D06_00257",61110,58618,85089,32130,43787,36030,39791,57599,45915
"Shom_DM21D06_00258",15516,14724,19623,8312,9751,12827,9777,14406,14165
"Shom_DM21D06_00259",29470,28620,35248,17727,20390,26385,18930,27944,26355
"Shom_DM21D06_00260",12825,12992,14589,8797,10563,12422,10299,14342,13953
"Shom_DM21D06_00261",16354,15581,24359,5623,8980,7459,8455,13197,8254
"Shom_DM21D06_00262",2116,2004,2388,2602,3332,2574,2914,3851,3184
"Shom_DM21D06_00263",1117,951,1596,1347,1266,1500,722,1109,1167
"Shom_DM21D06_00264",99,101,171,147,142,201,95,139,150
"Shom_DM21D06_00265",184,199,249,5813,2799,16521,2803,3434,10071
"Shom_DM21D06_00266",281,214,357,2552,1846,4519,1009,1536,1247
"Shom_DM21D06_00269",1106,1034,1358,2234,2896,1873,1944,2448,2188
"Shom_DM21D06_00270",3238,3118,4775,6988,9607,5660,5735,7538,6665
"Shom_DM21D06_00271",17806,17231,25904,14207,16485,20041,16797,21878,21588
"Shom_DM21D06_00272",1552,1533,2132,526,709,798,659,1050,818
"Shom_DM21D06_00273",36048,33966,54119,11313,14343,17161,13117,21089,16495
"Shom_DM21D06_00274",14837,14947,22623,11625,12423,11515,8275,12865,11494
"Shom_DM21D06_00275",36703,34745,64251,38495,48777,41695,38798,59160,52481
"Shom_DM21D06_00276",8796,8529,11651,4352,5774,7379,5353,7289,5346
"Shom_DM21D06_00277",26441,25144,30172,12105,21600,11491,20466,29827,21439
"Shom_DM21D06_00278",6979,6654,8572,4149,6695,4036,5566,8672,6510
"Shom_DM21D06_00279",17222,16446,20724,13134,18958,13193,16051,23811,19138
"Shom_DM21D06_00280",23876,23388,33721,21812,23274,32333,22628,34042,32844
"Shom_DM21D06_00281",18910,18719,26458,13175,14490,21492,14961,22191,19566
"Shom_DM21D06_00282",2247,1878,2450,3290,4698,2569,3196,4026,3352
"Shom_DM21D06_00283",219,229,215,412,588,368,496,553,447
"Shom_DM21D06_00284",10631,10301,15353,48154,51778,48179,28868,39166,40077
"Shom_DM21D06_00285",4394,4093,6147,4791,5462,5352,4923,6912,6285
"Shom_DM21D06_00286",30847,29886,47087,20676,24114,26460,23870,36242,28095
"Shom_DM21D06_00287",19670,19994,27864,8527,14685,7790,14855,19724,14310
"Shom_DM21D06_00288",20964,20268,27418,12776,15532,14719,12113,18171,17667
"Shom_DM21D06_00289",11969,11653,13764,7200,8657,7830,7342,10481,10510
"Shom_DM21D06_00290",6691,6557,7437,5179,5908,5628,4955,7147,7440
"Shom_DM21D06_00291",25314,23892,26486,27704,34052,24471,27975,37504,34324
"Shom_DM21D06_00292",9311,8766,8497,10234,12874,8794,10956,14532,12693
"Shom_DM21D06_00293",1591,1719,1589,1774,2287,1513,2518,3338,2641
"Shom_DM21D06_00294",10010,9559,15868,10045,12003,11450,9150,13371,12583
"Shom_DM21D06_00295",5673,5699,7659,9329,11125,11463,10023,12455,11991
"Shom_DM21D06_00296",16417,15915,24266,27190,30515,33502,21543,29886,31253
"Shom_DM21D06_00297",72473,69852,109191,68839,87472,69721,71007,100287,97423
"Shom_DM21D06_00298",1527,1483,1984,1177,1067,1745,994,1496,1869
"Shom_DM21D06_00299",28987,29092,41320,66048,55207,116253,49116,66046,85574
"Shom_DM21D06_00300",166809,165991,262298,319724,258368,717917,324620,451291,526097
"Shom_DM21D06_00301",28055,26012,42640,32662,36997,32550,25550,36836,31876
"Shom_DM21D06_00302",6674,6918,5994,62407,30764,101251,21538,28488,112306
"Shom_DM21D06_00303",3110,3352,1716,33787,17450,35635,10905,12874,42474
"Shom_DM21D06_00304",4607,4775,2577,47372,24979,45551,15939,20000,55558
"Shom_DM21D06_00305",3066,3128,1900,31060,15946,36391,11427,14850,47092
"Shom_DM21D06_00306",2005,2065,1400,23549,11973,34858,8438,11003,42369
"Shom_DM21D06_00307",498,483,779,531,620,705,686,981,782
"Shom_DM21D06_00308",1904,1683,2483,1790,2176,3027,1175,1701,1688
"Shom_DM21D06_00309",6524,6081,9539,5230,5907,8991,3565,5595,5696
"Shom_DM21D06_00310",33565,31562,36478,22148,30493,22953,27021,36436,30609
"Shom_DM21D06_00311",14575,14078,12807,9160,13949,8216,13447,17357,11571
"Shom_DM21D06_00312",7466,6737,9815,13425,13657,19596,15494,19220,16420
"Shom_DM21D06_00313",22290,20502,26095,75727,70265,127882,97815,131573,100487
"Shom_DM21D06_00314",40034,39089,56335,32330,43969,31042,29830,43993,41287
"Shom_DM21D06_00315",39263,37502,56094,51887,49976,77463,44507,61908,64335
"Shom_DM21D06_00316",7142,6793,10037,7922,9097,8902,6461,10199,8829
"Shom_DM21D06_00317",17948,17292,23602,12610,16340,14468,12510,18365,16049
"Shom_DM21D06_00318",13122,11632,13631,5648,8105,6484,9177,12611,10127
"Shom_DM21D06_00319",59986,56891,74581,57822,59859,94299,66042,88718,88194
"Shom_DM21D06_00320",102149,96657,113745,94932,103274,127317,95684,140825,126890
"Shom_DM21D06_00321",84898,80712,110499,83551,100495,94563,93008,136369,112465
"Shom_DM21D06_00322",8354,8056,11754,7128,8833,7642,7609,10343,9894
"Shom_DM21D06_00323",4756,4488,7690,4661,5450,4626,4587,6866,6422
"Shom_DM21D06_00324",2334,2270,3450,2376,2691,2395,2100,3236,2987
"Shom_DM21D06_00325",72227,70539,106825,55909,62289,49926,54657,78112,62821
"Shom_DM21D06_00326",8912,8725,5636,4181,4969,3455,2976,4818,3197
"Shom_DM21D06_00327",10609,10434,7388,5015,5823,4319,3680,5827,4513
"Shom_DM21D06_00328",3129,2838,3687,1249,1693,1118,1388,1978,1671
"Shom_DM21D06_00329",888,688,1119,318,443,337,363,503,434
"Shom_DM21D06_00330",16127,15830,21592,50154,51680,54254,43192,53720,49120
"Shom_DM21D06_00331",874,897,518,20676,19244,7721,12334,14434,7894
"Shom_DM21D06_00332",28419,26720,32954,14148,19479,16200,18746,26549,24240
"Shom_DM21D06_00333",21094,20944,34430,32571,37232,49963,35880,47541,44547
"Shom_DM21D06_00334",9280,8810,13556,7838,9585,7459,8416,13140,10488
"Shom_DM21D06_00335",4927,4784,6439,3831,4974,3669,4707,7431,5367
"Shom_DM21D06_00336",49363,47896,44759,23756,29226,25214,27999,43342,33640
"Shom_DM21D06_00337",10803,10557,8161,4929,6132,5210,6312,9086,6959
"Shom_DM21D06_00338",9134,8989,7090,3702,4782,3778,4966,7469,5449
"Shom_DM21D06_00339",42093,40795,34748,18110,22503,19776,24032,36158,25935
"Shom_DM21D06_00340",6739,6901,5828,3153,3806,3629,3711,5633,4285
"Shom_DM21D06_00341",13232,12419,11467,4944,5895,5767,6087,9316,7155
"Shom_DM21D06_00342",11355,10521,10024,4588,5487,5455,5868,8510,6676
"Shom_DM21D06_00343",881,815,976,274,318,373,520,844,454
"Shom_DM21D06_00344",11474,11046,13873,4081,3978,5397,2961,4269,4615
