Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,iT_Sepi_28B01,iT_Shom_28A10,Scap_29E04_ad,Scap_2C01_ad,Scap_2C12_adm,Scap_58D05_ad,Scap_6C02_adm,Scap_6C05_adm,Scap_9C11_adm,Scap_DM01A05_,Scap_DM12A11_,Scap_DM16A07_,Scap_DM18D08_,Scap_DM21F09_,Scap_DM21G11,Scap_DM21G12_,Scap_DM23E01_,Scap_DM23E05_,Scap_DM28A07_,Scap_DM34E02_,Scap_DM3F02_a,Scap_LM7D7_a,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
group_1421,,hypothetical protein,22,22,1,1,1953,NA,NA,NA,309,351,349.09090909090907,iT_Sepi_28B01_02241,iT_Shom_28A10_01618,Scap_29E04_ad_00634,Scap_2C01_ad_00497,Scap_2C12_adm_01163,Scap_58D05_ad_00216,Scap_6C02_adm_01535,Scap_6C05_adm_00477,Scap_9C11_adm_01029,Scap_DM01A05__01035,Scap_DM12A11__00838,Scap_DM16A07__00469,Scap_DM18D08__01801,Scap_DM21F09__01463,Scap_DM21G11_00565,Scap_DM21G12__01297,Scap_DM23E01__00477,Scap_DM23E05__00908,Scap_DM28A07__01410,Scap_DM34E02__01215,Scap_DM3F02_a_01130,Scap_LM7D7_a_00508,435838.HMPREF0786_01154,2.83e-71,215,"29TZJ@1|root,30F8J@2|Bacteria,1TXWE@1239|Firmicutes,4I6Z1@91061|Bacilli,4GZJE@90964|Staphylococcaceae",91061|Bacilli,S,Domain of unknown function (DUF4889),-,-,-,-,-,-,-,-,-,-,-,-,DUF4889
group_1420,,AzlC family ABC transporter permease,22,22,1,1,1952,NA,NA,NA,576,693,666.1363636363636,iT_Sepi_28B01_01647,iT_Shom_28A10_01378,Scap_29E04_ad_00152,Scap_2C01_ad_00010,Scap_2C12_adm_01676,Scap_58D05_ad_00701,Scap_6C02_adm_01048,Scap_6C05_adm_01615,Scap_9C11_adm_01744,Scap_DM01A05__01520,Scap_DM12A11__01702,Scap_DM16A07__01679,Scap_DM18D08__01621,Scap_DM21F09__02333,Scap_DM21G11_00010,Scap_DM21G12__01789,Scap_DM23E01__01826,Scap_DM23E05__01715,Scap_DM28A07__01879,Scap_DM34E02__01280,Scap_DM3F02_a_01613,Scap_LM7D7_a_00010,1234593.ANBY01000016_gene775,9.57e-132,377,"COG1296@1|root,COG1296@2|Bacteria,1U49T@1239|Firmicutes,4HDIJ@91061|Bacilli,4GY4F@90964|Staphylococcaceae",91061|Bacilli,E,Azaleucine resistance,azlC,-,-,-,-,-,-,-,-,-,-,-,AzlC
group_1419,,YwhD family protein,22,22,1,1,1951,NA,NA,NA,507,507,507,iT_Sepi_28B01_01417,iT_Shom_28A10_00743,Scap_29E04_ad_02084,Scap_2C01_ad_02126,Scap_2C12_adm_00278,Scap_58D05_ad_02067,Scap_6C02_adm_02116,Scap_6C05_adm_01968,Scap_9C11_adm_01392,Scap_DM01A05__01858,Scap_DM12A11__00535,Scap_DM16A07__01911,Scap_DM18D08__00746,Scap_DM21F09__01988,Scap_DM21G11_02134,Scap_DM21G12__02015,Scap_DM23E01__02222,Scap_DM23E05__02053,Scap_DM28A07__01109,Scap_DM34E02__01744,Scap_DM3F02_a_02127,Scap_LM7D7_a_02125,435838.HMPREF0786_02261,1.31e-119,341,"28J0N@1|root,2Z8XT@2|Bacteria,1V1UK@1239|Firmicutes,4HD4W@91061|Bacilli,4GY9N@90964|Staphylococcaceae",91061|Bacilli,S,YwhD family,ywhD,-,-,-,-,-,-,-,-,-,-,-,YwhD
group_1418,,BrxA/BrxB family bacilliredoxin,22,22,1,1,1950,NA,NA,NA,438,438,438,iT_Sepi_28B01_00324,iT_Shom_28A10_01154,Scap_29E04_ad_00948,Scap_2C01_ad_01255,Scap_2C12_adm_00458,Scap_58D05_ad_01122,Scap_6C02_adm_00327,Scap_6C05_adm_00861,Scap_9C11_adm_00455,Scap_DM01A05__00322,Scap_DM12A11__01517,Scap_DM16A07__01486,Scap_DM18D08__01157,Scap_DM21F09__00591,Scap_DM21G11_01324,Scap_DM21G12__00696,Scap_DM23E01__01035,Scap_DM23E05__00469,Scap_DM28A07__00323,Scap_DM34E02__00402,Scap_DM3F02_a_00588,Scap_LM7D7_a_01270,435838.HMPREF0786_00594,2.56e-99,288,"28NYH@1|root,2ZBVN@2|Bacteria,1V1T3@1239|Firmicutes,4HHZS@91061|Bacilli,4GYY6@90964|Staphylococcaceae",91061|Bacilli,S,Belongs to the UPF0403 family,yqiW,-,-,-,-,-,-,-,-,-,-,-,Disulph_isomer
group_1417,,hypothetical protein,22,22,1,1,1949,NA,NA,NA,249,249,249,iT_Sepi_28B01_01531,iT_Shom_28A10_01494,Scap_29E04_ad_00028,Scap_2C01_ad_02294,Scap_2C12_adm_01559,Scap_58D05_ad_00826,Scap_6C02_adm_00923,Scap_6C05_adm_01474,Scap_9C11_adm_01628,Scap_DM01A05__01634,Scap_DM12A11__01818,Scap_DM16A07__01556,Scap_DM18D08__01737,Scap_DM21F09__01940,Scap_DM21G11_02302,Scap_DM21G12__01905,Scap_DM23E01__01685,Scap_DM23E05__01591,Scap_DM28A07__01995,Scap_DM34E02__01396,Scap_DM3F02_a_01738,Scap_LM7D7_a_02290,435838.HMPREF0786_01796,1.39e-53,167,"29U1S@1|root,30FAY@2|Bacteria,1TXWZ@1239|Firmicutes,4I6ZJ@91061|Bacilli,4GZME@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1416,,hypothetical protein,22,22,1,1,1948,NA,NA,NA,408,408,408,iT_Sepi_28B01_01917,iT_Shom_28A10_02151,Scap_29E04_ad_00781,Scap_2C01_ad_00645,Scap_2C12_adm_01017,Scap_58D05_ad_00070,Scap_6C02_adm_01682,Scap_6C05_adm_00626,Scap_9C11_adm_01960,Scap_DM01A05__02083,Scap_DM12A11__00692,Scap_DM16A07__00615,Scap_DM18D08__01948,Scap_DM21F09__01316,Scap_DM21G11_00713,Scap_DM21G12__01151,Scap_DM23E01__00627,Scap_DM23E05__00762,Scap_DM28A07__01264,Scap_DM34E02__01069,Scap_DM3F02_a_00983,Scap_LM7D7_a_00652,435838.HMPREF0786_01002,7.25e-83,246,"2ET57@1|root,33KPA@2|Bacteria,1VQFX@1239|Firmicutes,4HR42@91061|Bacilli,4GZFA@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1415,,amino acid permease,22,22,1,1,1947,NA,NA,NA,1236,1449,1352.1818181818182,iT_Sepi_28B01_01086,iT_Shom_28A10_01906,Scap_29E04_ad_00421,Scap_2C01_ad_00284,Scap_2C12_adm_00827,Scap_58D05_ad_00430,Scap_6C02_adm_01322,Scap_6C05_adm_00263,Scap_9C11_adm_00830,Scap_DM01A05__01237,Scap_DM12A11__01039,Scap_DM16A07__00259,Scap_DM18D08__01338,Scap_DM21F09__01106,Scap_DM21G11_00365,Scap_DM21G12__00125,Scap_DM23E01__00262,Scap_DM23E05__01116,Scap_DM28A07__01609,Scap_DM34E02__00839,Scap_DM3F02_a_01343,Scap_LM7D7_a_00309,176279.SERP2158,1.7e-293,807,"COG0531@1|root,COG0531@2|Bacteria,1TQ4K@1239|Firmicutes,4HA32@91061|Bacilli,4GXVM@90964|Staphylococcaceae",91061|Bacilli,E,Amino acid permease,ctrA,-,-,ko:K03294,-,-,-,-,ko00000,2.A.3.2,-,-,AA_permease_2
group_1413,,HAD family hydrolase,22,22,1,1,1945,NA,NA,NA,648,648,648,iT_Sepi_28B01_01447,iT_Shom_28A10_00774,Scap_29E04_ad_02114,Scap_2C01_ad_02155,Scap_2C12_adm_00308,Scap_58D05_ad_02097,Scap_6C02_adm_02087,Scap_6C05_adm_01870,Scap_9C11_adm_02155,Scap_DM01A05__01888,Scap_DM12A11__00566,Scap_DM16A07__01880,Scap_DM18D08__00777,Scap_DM21F09__02018,Scap_DM21G11_02165,Scap_DM21G12__01986,Scap_DM23E01__02192,Scap_DM23E05__02023,Scap_DM28A07__01138,Scap_DM34E02__01713,Scap_DM3F02_a_02097,Scap_LM7D7_a_02154,435838.HMPREF0786_02231,2.71e-151,425,"COG0546@1|root,COG0546@2|Bacteria,1UV09@1239|Firmicutes,4ICPU@91061|Bacilli,4GZ7R@90964|Staphylococcaceae",91061|Bacilli,S,haloacid dehalogenase-like hydrolase,-,-,-,-,-,-,-,-,-,-,-,-,HAD_2
group_1412,,thiolase family protein,22,22,1,1,1944,NA,NA,NA,1140,1140,1140,iT_Sepi_28B01_01445,iT_Shom_28A10_00772,Scap_29E04_ad_02112,Scap_2C01_ad_02153,Scap_2C12_adm_00306,Scap_58D05_ad_02095,Scap_6C02_adm_02089,Scap_6C05_adm_01872,Scap_9C11_adm_02153,Scap_DM01A05__01886,Scap_DM12A11__00564,Scap_DM16A07__01882,Scap_DM18D08__00775,Scap_DM21F09__02016,Scap_DM21G11_02163,Scap_DM21G12__01988,Scap_DM23E01__02194,Scap_DM23E05__02025,Scap_DM28A07__01136,Scap_DM34E02__01715,Scap_DM3F02_a_02099,Scap_LM7D7_a_02152,435838.HMPREF0786_02233,5.86e-276,754,"COG0183@1|root,COG0183@2|Bacteria,1TP07@1239|Firmicutes,4HBPC@91061|Bacilli,4GX4K@90964|Staphylococcaceae",91061|Bacilli,I,Belongs to the thiolase family,vraB,"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016740,GO:0016746,GO:0016747",2.3.1.9,ko:K00626,"ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020","M00088,M00095,M00373,M00374,M00375","R00238,R01177","RC00004,RC00326","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Thiolase_C,Thiolase_N"
leuB_2~~~leuB_1~~~leuB,leuB_2;leuB_1;leuB,3-isopropylmalate dehydrogenase,22,23,1.0454545454545454,1,1943,NA,NA,NA,453,1044,994.695652173913,iT_Sepi_28B01_02208,iT_Shom_28A10_02077,Scap_29E04_ad_02058,Scap_2C01_ad_00820,Scap_2C12_adm_01950,Scap_58D05_ad_01937,Scap_6C02_adm_02025;Scap_6C02_adm_02026,Scap_6C05_adm_02258,Scap_9C11_adm_01786,Scap_DM01A05__02257,Scap_DM12A11__02056,Scap_DM16A07__02320,Scap_DM18D08__02124,Scap_DM21F09__01720,Scap_DM21G11_00891,Scap_DM21G12__02250,Scap_DM23E01__02131,Scap_DM23E05__01962,Scap_DM28A07__02126,Scap_DM34E02__02316,Scap_DM3F02_a_01925,Scap_LM7D7_a_00830,435838.HMPREF0786_02171,1.32e-249,685,"COG0473@1|root,COG0473@2|Bacteria,1TPEM@1239|Firmicutes,4HATP@91061|Bacilli,4GXSV@90964|Staphylococcaceae",91061|Bacilli,CE,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate,leuB,"GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0003862,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006551,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009098,GO:0009987,GO:0016053,GO:0016491,GO:0016614,GO:0016616,GO:0019752,GO:0036094,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046872,GO:0048037,GO:0050662,GO:0051287,GO:0055114,GO:0071704,GO:0097159,GO:1901265,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",1.1.1.85,ko:K00052,"ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230","M00432,M00535","R00994,R04426,R10052","RC00084,RC00417,RC03036","br01601,ko00000,ko00001,ko00002,ko01000",-,-,iYO844.BSU28270,Iso_dh
group_1411,,DCC1-like thiol-disulfide oxidoreductase family protein,22,22,1,1,1942,NA,NA,NA,411,411,411,iT_Sepi_28B01_02013,iT_Shom_28A10_02271,Scap_29E04_ad_02246,Scap_2C01_ad_00737,Scap_2C12_adm_02030,Scap_58D05_ad_02180,Scap_6C02_adm_02164,Scap_6C05_adm_02338,Scap_9C11_adm_02056,Scap_DM01A05__02227,Scap_DM12A11__02263,Scap_DM16A07__02044,Scap_DM18D08__02203,Scap_DM21F09__02101,Scap_DM21G11_00810,Scap_DM21G12__02046,Scap_DM23E01__02269,Scap_DM23E05__02100,Scap_DM28A07__02156,Scap_DM34E02__01996,Scap_DM3F02_a_02224,Scap_LM7D7_a_00749,435838.HMPREF0786_02356,9.16e-100,288,"COG3011@1|root,COG3011@2|Bacteria,1V7DJ@1239|Firmicutes,4HNQA@91061|Bacilli,4GZAG@90964|Staphylococcaceae",91061|Bacilli,S,"Protein of unknown function, DUF393",-,-,-,-,-,-,-,-,-,-,-,-,DUF393
group_1410,,sterile alpha motif-like domain-containing protein,22,22,1,1,1941,NA,NA,NA,213,213,213,iT_Sepi_28B01_01102,iT_Shom_28A10_01889,Scap_29E04_ad_00405,Scap_2C01_ad_00267,Scap_2C12_adm_00843,Scap_58D05_ad_00447,Scap_6C02_adm_01305,Scap_6C05_adm_00247,Scap_9C11_adm_00814,Scap_DM01A05__01253,Scap_DM12A11__01055,Scap_DM16A07__00242,Scap_DM18D08__01322,Scap_DM21F09__01090,Scap_DM21G11_00349,Scap_DM21G12__00141,Scap_DM23E01__00246,Scap_DM23E05__01133,Scap_DM28A07__01625,Scap_DM34E02__00823,Scap_DM3F02_a_01359,Scap_LM7D7_a_00293,525378.HMPREF0793_0716,3.12e-38,128,"29IFN@1|root,305CA@2|Bacteria,1TY0U@1239|Firmicutes,4I73T@91061|Bacilli,4GZXB@90964|Staphylococcaceae",91061|Bacilli,S,YozE SAM-like fold,-,-,-,-,-,-,-,-,-,-,-,-,YozE_SAM_like
recO,recO,DNA repair protein RecO,22,22,1,1,1940,NA,NA,NA,756,756,756,iT_Sepi_28B01_00273,iT_Shom_28A10_01103,Scap_29E04_ad_00896,Scap_2C01_ad_01203,Scap_2C12_adm_00407,Scap_58D05_ad_01174,Scap_6C02_adm_00275,Scap_6C05_adm_00809,Scap_9C11_adm_00506,Scap_DM01A05__00271,Scap_DM12A11__01466,Scap_DM16A07__01435,Scap_DM18D08__01106,Scap_DM21F09__00643,Scap_DM21G11_01273,Scap_DM21G12__00645,Scap_DM23E01__01087,Scap_DM23E05__00521,Scap_DM28A07__00272,Scap_DM34E02__00453,Scap_DM3F02_a_00640,Scap_LM7D7_a_01219,435838.HMPREF0786_00645,2.19e-173,484,"COG1381@1|root,COG1381@2|Bacteria,1V3DZ@1239|Firmicutes,4HGD8@91061|Bacilli,4GXU8@90964|Staphylococcaceae",91061|Bacilli,L,Involved in DNA repair and RecF pathway recombination,recO,"GO:0006139,GO:0006259,GO:0006281,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360",-,ko:K03584,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,"RecO_C,RecO_N"
lrgA,lrgA,antiholin-like murein hydrolase modulator LrgA,22,22,1,1,1939,NA,NA,NA,447,465,447.8181818181818,iT_Sepi_28B01_00940,iT_Shom_28A10_01673,Scap_29E04_ad_00579,Scap_2C01_ad_00442,Scap_2C12_adm_00679,Scap_58D05_ad_00272,Scap_6C02_adm_01480,Scap_6C05_adm_00421,Scap_9C11_adm_00976,Scap_DM01A05__01089,Scap_DM12A11__00893,Scap_DM16A07__00415,Scap_DM18D08__01483,Scap_DM21F09__01519,Scap_DM21G11_00511,Scap_DM21G12__01351,Scap_DM23E01__00421,Scap_DM23E05__00962,Scap_DM28A07__01463,Scap_DM34E02__00984,Scap_DM3F02_a_01185,Scap_LM7D7_a_00455,435838.HMPREF0786_01208,1.49e-76,231,"COG1380@1|root,COG1380@2|Bacteria,1VIGA@1239|Firmicutes,4HQC1@91061|Bacilli,4GZ63@90964|Staphylococcaceae",91061|Bacilli,S,"Inhibits the expression or activity of extracellular murein hydrolases by interacting, possibly with LrgB, with the holin-like proteins CidA and or CidB. The LrgAB and CidAB proteins may affect the proton motive force of the membrane. May be involved in programmed cell death (PCD), possibly triggering PCD in response to antibiotics and environmental stresses",lrgA,"GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0009987,GO:0016020,GO:0016021,GO:0019835,GO:0031224,GO:0044425,GO:0044464,GO:0071944",-,ko:K05338,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000",1.E.14.1,-,-,LrgA
menC,menC,o-succinylbenzoate synthase,22,22,1,1,1938,NA,NA,NA,1002,1002,1002,iT_Sepi_28B01_00069,iT_Shom_28A10_00899,Scap_29E04_ad_01698,Scap_2C01_ad_00994,Scap_2C12_adm_02172,Scap_58D05_ad_01381,Scap_6C02_adm_00067,Scap_6C05_adm_02084,Scap_9C11_adm_01541,Scap_DM01A05__00068,Scap_DM12A11__01262,Scap_DM16A07__01227,Scap_DM18D08__00902,Scap_DM21F09__00850,Scap_DM21G11_01069,Scap_DM21G12__00442,Scap_DM23E01__01293,Scap_DM23E05__02242,Scap_DM28A07__00069,Scap_DM34E02__00657,Scap_DM3F02_a_00847,Scap_LM7D7_a_01017,435838.HMPREF0786_00848,3.59e-240,660,"COG4948@1|root,COG4948@2|Bacteria,1VE4F@1239|Firmicutes,4HMUM@91061|Bacilli,4GY63@90964|Staphylococcaceae",91061|Bacilli,M,"Converts 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1- carboxylate (SHCHC) to 2-succinylbenzoate (OSB)",menC,-,4.2.1.113,ko:K02549,"ko00130,ko01100,ko01110,map00130,map01100,map01110",M00116,R04031,RC01053,"ko00000,ko00001,ko00002,ko01000",-,-,iSB619.SA_RS09080,MR_MLE_C
dat,dat,D-amino-acid transaminase,22,22,1,1,1936,NA,NA,NA,849,849,849,iT_Sepi_28B01_00106,iT_Shom_28A10_00937,Scap_29E04_ad_01660,Scap_2C01_ad_01034,Scap_2C12_adm_01525,Scap_58D05_ad_01343,Scap_6C02_adm_00106,Scap_6C05_adm_02046,Scap_9C11_adm_01505,Scap_DM01A05__00104,Scap_DM12A11__01300,Scap_DM16A07__01267,Scap_DM18D08__00940,Scap_DM21F09__00812,Scap_DM21G11_01107,Scap_DM21G12__00479,Scap_DM23E01__01256,Scap_DM23E05__00691,Scap_DM28A07__00106,Scap_DM34E02__00619,Scap_DM3F02_a_00809,Scap_LM7D7_a_01053,435838.HMPREF0786_00811,1.85e-205,568,"COG0115@1|root,COG0115@2|Bacteria,1TPY2@1239|Firmicutes,4HAWW@91061|Bacilli,4GXAW@90964|Staphylococcaceae",91061|Bacilli,E,"Acts on the D-isomers of alanine, leucine, aspartate, glutamate, aminobutyrate, norvaline and asparagine. The enzyme transfers an amino group from a substrate D-amino acid to the pyridoxal phosphate cofactor to form pyridoxamine and an alpha- keto acid in the first half-reaction",dat,"GO:0003674,GO:0003824,GO:0005488,GO:0006082,GO:0006520,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009056,GO:0009058,GO:0009063,GO:0009987,GO:0016053,GO:0016054,GO:0016740,GO:0016769,GO:0019478,GO:0019752,GO:0019842,GO:0030170,GO:0036094,GO:0043167,GO:0043168,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044281,GO:0044282,GO:0044283,GO:0046394,GO:0046395,GO:0046416,GO:0046437,GO:0047810,GO:0048037,GO:0050662,GO:0070279,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901605,GO:1901606,GO:1901607",2.6.1.21,ko:K00824,"ko00310,ko00330,ko00360,ko00472,ko00473,ko01100,map00310,map00330,map00360,map00472,map00473,map01100",-,"R01148,R01582,R02459,R02851,R02924,R05053","RC00006,RC00008,RC00025","ko00000,ko00001,ko01000,ko01007",-,-,-,Aminotran_4
group_1408,,alpha/beta hydrolase,22,22,1,1,1935,NA,NA,NA,867,867,867,iT_Sepi_28B01_01962,iT_Shom_28A10_02106,Scap_29E04_ad_00826,Scap_2C01_ad_00690,Scap_2C12_adm_00971,Scap_58D05_ad_00025,Scap_6C02_adm_01727,Scap_6C05_adm_00671,Scap_9C11_adm_02006,Scap_DM01A05__02128,Scap_DM12A11__00647,Scap_DM16A07__00730,Scap_DM18D08__01993,Scap_DM21F09__02426,Scap_DM21G11_00758,Scap_DM21G12__01106,Scap_DM23E01__00741,Scap_DM23E05__00717,Scap_DM28A07__01219,Scap_DM34E02__01024,Scap_DM3F02_a_00938,Scap_LM7D7_a_00698,435838.HMPREF0786_00958,8.07e-201,556,"COG4814@1|root,COG4814@2|Bacteria,1V3WN@1239|Firmicutes,4IRX8@91061|Bacilli,4GXQK@90964|Staphylococcaceae",91061|Bacilli,S,Alpha/beta hydrolase of unknown function (DUF915),-,-,-,-,-,-,-,-,-,-,-,-,DUF915
group_1407,,hypothetical protein,22,22,1,1,1934,NA,NA,NA,669,906,795.5454545454545,iT_Sepi_28B01_01753,iT_Shom_28A10_01273,Scap_29E04_ad_00217,Scap_2C01_ad_00083,Scap_2C12_adm_01758,Scap_58D05_ad_00635,Scap_6C02_adm_01118,Scap_6C05_adm_00057,Scap_9C11_adm_00646,Scap_DM01A05__01414,Scap_DM12A11__01598,Scap_DM16A07__00058,Scap_DM18D08__01517,Scap_DM21F09__00900,Scap_DM21G11_00114,Scap_DM21G12__00298,Scap_DM23E01__00059,Scap_DM23E05__01320,Scap_DM28A07__01786,Scap_DM34E02__02125,Scap_DM3F02_a_01547,Scap_LM7D7_a_00127,435838.HMPREF0786_01563,2.41e-166,468,"28TT9@1|root,2ZG0D@2|Bacteria,1W6KM@1239|Firmicutes,4I0NY@91061|Bacilli,4GZB8@90964|Staphylococcaceae",91061|Bacilli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
group_1406,,MurR/RpiR family transcriptional regulator,22,22,1,1,1933,NA,NA,NA,699,882,816.6818181818181,iT_Sepi_28B01_01850,iT_Shom_28A10_01539,Scap_29E04_ad_00713,Scap_2C01_ad_00577,Scap_2C12_adm_01085,Scap_58D05_ad_00138,Scap_6C02_adm_01613,Scap_6C05_adm_00558,Scap_9C11_adm_01105,Scap_DM01A05__00956,Scap_DM12A11__00759,Scap_DM16A07__00548,Scap_DM18D08__01881,Scap_DM21F09__01384,Scap_DM21G11_00646,Scap_DM21G12__01218,Scap_DM23E01__00559,Scap_DM23E05__00830,Scap_DM28A07__01331,Scap_DM34E02__01136,Scap_DM3F02_a_01051,Scap_LM7D7_a_00584,435838.HMPREF0786_01071,9.15e-207,572,"COG1737@1|root,COG1737@2|Bacteria,1TPIX@1239|Firmicutes,4HBJA@91061|Bacilli,4GXE4@90964|Staphylococcaceae",91061|Bacilli,K,Transcriptional regulator,yleF,-,-,-,-,-,-,-,-,-,-,-,"HTH_6,SIS"
group_1404,,glycosyl-44'-diaponeurosporenoate acyltransferase,22,22,1,1,1931,NA,NA,NA,486,486,486,iT_Sepi_28B01_01051,iT_Shom_28A10_01786,Scap_29E04_ad_00459,Scap_2C01_ad_00321,Scap_2C12_adm_00792,Scap_58D05_ad_00393,Scap_6C02_adm_01359,Scap_6C05_adm_00301,Scap_9C11_adm_00864,Scap_DM01A05__01202,Scap_DM12A11__01004,Scap_DM16A07__00298,Scap_DM18D08__01372,Scap_DM21F09__01144,Scap_DM21G11_00400,Scap_DM21G12__00091,Scap_DM23E01__00301,Scap_DM23E05__01079,Scap_DM28A07__01574,Scap_DM34E02__00873,Scap_DM3F02_a_01305,Scap_LM7D7_a_00343,435838.HMPREF0786_01325,2.88e-106,307,"2E9V0@1|root,3340V@2|Bacteria,1VNKK@1239|Firmicutes,4IRRP@91061|Bacilli,4GXUF@90964|Staphylococcaceae",91061|Bacilli,M,"Catalyzes the acylation of glycosyl-4,4'- diaponeurosporenoate, i.e. the esterification of glucose at the C6'' position with the carboxyl group of the C(15) fatty acid 12- methyltetradecanoic acid, to yield staphyloxanthin. This is the last step in the biosynthesis of this orange pigment, present in most staphylococci strains (By similarity)",crtO,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016020,GO:0016021,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016740,GO:0016746,GO:0031224,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044425,GO:0044464,GO:0046148,GO:0071704,GO:0071944,GO:1901576",-,ko:K10212,"ko00906,map00906",-,R07656,RC00041,"ko00000,ko00001,ko01000",-,-,-,-
group_1402,,VOC family protein,22,22,1,1,1929,NA,NA,NA,738,810,783.8181818181819,iT_Sepi_28B01_00992,iT_Shom_28A10_01726,Scap_29E04_ad_00522,Scap_2C01_ad_00385,Scap_2C12_adm_00732,Scap_58D05_ad_00329,Scap_6C02_adm_01421,Scap_6C05_adm_00364,Scap_9C11_adm_00924,Scap_DM01A05__01141,Scap_DM12A11__00945,Scap_DM16A07__00359,Scap_DM18D08__01431,Scap_DM21F09__01207,Scap_DM21G11_00459,Scap_DM21G12__00032,Scap_DM23E01__00364,Scap_DM23E05__01018,Scap_DM28A07__01515,Scap_DM34E02__00932,Scap_DM3F02_a_01242,Scap_LM7D7_a_00403,435838.HMPREF0786_01263,5.07e-181,504,"COG2514@1|root,COG2514@2|Bacteria,1TPRF@1239|Firmicutes,4HAE7@91061|Bacilli,4GY0U@90964|Staphylococcaceae",91061|Bacilli,S,Glyoxalase bleomycin resistance protein dioxygenase superfamily protein,-,-,1.13.11.2,ko:K07104,"ko00361,ko00362,ko00622,ko00643,ko01100,ko01120,ko01220,map00361,map00362,map00622,map00643,map01100,map01120,map01220",M00569,"R00816,R04089,R05295,R05404,R05406,R07795","RC00387,RC00643,RC01075,RC01364,RC01914","ko00000,ko00001,ko00002,ko01000",-,-,-,Glyoxalase
