"","Sepi_PJ_010","Sepi_PJ_011","Sepi_PJ_012","Sepi_PJ_013","Sepi_PJ_014","Sepi_PJ_015","Sepi_PJ_016","Sepi_PJ_017","Sepi_PJ_018"
"Sepi_DM24B03_00251",24697,30970,26892,21302,34803,30630,67724,139379,120225
"Sepi_DM24B03_00252",65999,65367,67185,38404,63814,56708,37814,52983,47883
"Sepi_DM24B03_00253",101,57,76,195,204,168,132,106,130
"Sepi_DM24B03_00254",8,6,6,15,27,17,9,10,11
"Sepi_DM24B03_00255",145,102,118,243,344,285,169,184,182
"Sepi_DM24B03_00256",7982,5487,5674,1938,2781,2518,3157,5754,5191
"Sepi_DM24B03_00257",1046,858,1006,209,311,270,295,635,553
"Sepi_DM24B03_00258",24080,23083,25190,6104,10556,7047,11630,20817,14276
"Sepi_DM24B03_00259",307275,129350,187266,28564,48968,38910,52811,92382,72990
"Sepi_DM24B03_00260",124248,75583,76785,67750,91517,84618,56851,92851,81628
"Sepi_DM24B03_00261",78826,44328,46188,44784,59417,55213,37402,60038,51573
"Sepi_DM24B03_00262",12672,13043,10254,9045,13600,12450,6806,13554,14976
"Sepi_DM24B03_00263",7994,7486,7418,8293,11844,9929,8877,14430,10164
"Sepi_DM24B03_00264",20272,24126,25266,5322,8440,7122,3349,5747,4108
"Sepi_DM24B03_00265",2427,2034,1914,935,1356,1141,998,1685,1493
"Sepi_DM24B03_00266",7231,4881,5215,43532,52317,53392,54688,45469,57793
"Sepi_DM24B03_00267",5324,3551,3860,35763,42642,45642,41502,26957,38138
"Sepi_DM24B03_00268",3376,2811,2935,16084,19695,20242,19629,14513,16929
"Sepi_DM24B03_00269",4881,4483,4228,12640,15595,17031,15688,15025,16154
"Sepi_DM24B03_00270",5214,5757,5605,2755,4404,3755,2661,4646,3432
"Sepi_DM24B03_00271",24711,18736,19701,15350,23217,19205,17695,27740,21799
"Sepi_DM24B03_00272",20232,19423,18575,13775,20068,18972,11701,17006,13072
"Sepi_DM24B03_00273",5146,7442,5948,5152,8094,6147,4862,8501,8081
"Sepi_DM24B03_00274",43616,45359,41052,19980,31386,27480,20074,35841,33213
"Sepi_DM24B03_00275",638088,536352,484918,600952,876530,770970,742942,1339020,1160663
"Sepi_DM24B03_00276",108976,171392,139731,118850,191125,170696,123194,227494,202417
"Sepi_DM24B03_00277",7731,11093,9468,6269,10680,8860,6015,10490,8867
"Sepi_DM24B03_00278",4764,4953,4550,4251,6198,5709,3409,6552,6481
"Sepi_DM24B03_00279",25024,23846,22236,21811,31448,30107,17641,33892,32765
"Sepi_DM24B03_00280",61664,44892,46447,70397,100741,103955,46446,57079,56834
"Sepi_DM24B03_00281",6678,4506,4309,8377,12153,13749,5999,7066,8086
"Sepi_DM24B03_00282",6150,4341,3708,8437,11780,13019,5635,6918,9061
"Sepi_DM24B03_00283",5312,4058,3674,7137,10397,11406,5064,5480,6595
"Sepi_DM24B03_00284",2881,2680,2240,4556,6498,7391,3154,3367,4807
"Sepi_DM24B03_00285",27017,25890,23708,32958,48862,49677,26754,27648,31490
"Sepi_DM24B03_00286",18083,15659,14869,12284,18840,17046,10534,17072,15483
"Sepi_DM24B03_00287",695,940,857,261,620,538,391,571,421
"Sepi_DM24B03_00288",2246,2590,2410,876,1681,1389,1175,1955,1490
"Sepi_DM24B03_00289",272,259,307,82,153,107,112,197,142
"Sepi_DM24B03_00290",1634,1516,1501,305,636,474,389,788,541
"Sepi_DM24B03_00291",1015,925,991,199,389,265,246,486,321
"Sepi_DM24B03_00292",5113,5113,5211,2421,3703,3230,2483,4219,2997
"Sepi_DM24B03_00293",9519,9488,8897,4682,6987,6325,4521,7958,7239
"Sepi_DM24B03_00294",6205,6430,6309,2817,4297,3555,2723,5053,4309
"Sepi_DM24B03_00295",10073,11744,10224,4806,7293,6819,4789,9636,8688
"Sepi_DM24B03_00296",10969,12960,11498,4756,7137,6837,4680,9655,8746
"Sepi_DM24B03_00297",757,923,878,289,429,395,300,497,411
"Sepi_DM24B03_00298",173,190,176,55,95,77,61,76,67
"Sepi_DM24B03_00299",80,103,93,37,51,42,33,50,45
"Sepi_DM24B03_00300",196,280,241,149,215,155,133,275,212
"Sepi_DM24B03_00301",41,73,64,39,75,48,50,57,54
"Sepi_DM24B03_00302",411,432,409,121,227,158,146,275,190
"Sepi_DM24B03_00303",2092,2103,2133,666,1171,986,761,1348,980
"Sepi_DM24B03_00304",2391,1827,1948,681,1249,1056,779,1286,941
"Sepi_DM24B03_00305",4935,3897,3998,1477,2490,2090,1667,2931,2378
"Sepi_DM24B03_00306",404,501,430,179,303,251,181,311,241
"Sepi_DM24B03_00307",288,546,400,128,207,188,99,243,267
"Sepi_DM24B03_00308",61,215,157,25,50,45,24,46,30
"Sepi_DM24B03_00309",1326,1507,1303,7912,11716,11012,6827,9966,8671
"Sepi_DM24B03_00310",35567,28344,27945,13031,20145,15936,14282,24968,21773
"Sepi_DM24B03_00311",2756,3568,3187,842,1373,1159,1331,2105,1832
"Sepi_DM24B03_00312",22138,5250,8436,16064,20021,18275,18510,15521,15067
"Sepi_DM24B03_00313",586,1031,726,2377,3340,2871,9463,26899,15579
"Sepi_DM24B03_00314",6355,4070,4497,3277,5026,4376,3746,5521,4319
"Sepi_DM24B03_00315",16490,11262,12279,9009,12669,11092,9931,14605,10451
"Sepi_DM24B03_00316",26622,20596,20049,14255,19405,17627,13385,21966,18605
"Sepi_DM24B03_00317",1842,2007,1984,1944,3015,2587,1728,2213,1689
"Sepi_DM24B03_00318",2950,3839,3304,2181,3462,3130,2315,3973,3304
"Sepi_DM24B03_00319",99770,51530,52843,58585,73513,66881,80792,109026,101155
"Sepi_DM24B03_00320",253,181,239,154,245,225,209,198,98
"Sepi_DM24B03_00321",2152,2054,1971,2126,2888,2818,2083,2546,2003
"Sepi_DM24B03_00322",1067,1068,1064,974,1458,1357,984,1216,991
"Sepi_DM24B03_00323",1731,2645,2084,3124,4952,4947,1565,1526,1880
"Sepi_DM24B03_00324",2048,3325,2944,2226,3599,3172,1475,2166,1601
"Sepi_DM24B03_00325",11394,11040,11769,6653,10677,8958,6953,10257,6779
"Sepi_DM24B03_00326",18205,16327,16571,8254,13146,10845,7267,12797,9713
"Sepi_DM24B03_00327",3003,1697,2096,3839,5453,4417,4021,4770,4354
"Sepi_DM24B03_00328",9665,4873,6408,9206,12750,10816,10401,10872,9218
"Sepi_DM24B03_00329",3275,1748,2366,3101,4307,3827,3407,3714,3301
"Sepi_DM24B03_00330",488,1996,1525,6872,17021,14576,2608,9975,8684
"Sepi_DM24B03_00331",6655,6496,5935,18005,39286,40502,9422,14980,15764
"Sepi_DM24B03_00332",3162,4957,3594,14707,29254,31603,7108,10692,14836
"Sepi_DM24B03_00333",991,1599,1317,4211,9501,8479,2657,4040,4518
"Sepi_DM24B03_00334",619,1039,827,2949,6458,6774,1834,2791,3589
"Sepi_DM24B03_00335",239,635,468,2458,5480,5527,1145,1962,2350
"Sepi_DM24B03_00336",1741,2275,2099,10424,22448,20719,3116,6849,5993
"Sepi_DM24B03_00337",1842,2278,2058,8673,19390,16709,2737,6610,5362
"Sepi_DM24B03_00338",4767,1425,2166,2211,3228,2538,3575,4441,3413
"Sepi_DM24B03_00339",26539,38024,31233,74206,101107,100834,53714,58391,69761
"Sepi_DM24B03_00340",6998,9114,8381,13996,20520,21587,11369,12124,12017
"Sepi_DM24B03_00341",26356,33431,32736,13497,20852,19591,8747,9763,11107
"Sepi_DM24B03_00342",6590,13414,11359,12948,23284,20366,18922,19201,17405
"Sepi_DM24B03_00343",1700,4835,3245,2744,4483,3640,2464,3445,2465
"Sepi_DM24B03_00344",1189,1290,1297,28438,43696,39196,12445,13158,13187
"Sepi_DM24B03_00345",4213,3603,3831,55510,79096,73693,24619,25631,22940
"Sepi_DM24B03_00346",8,8,10,227,338,334,93,113,140
"Sepi_DM24B03_00347",4164,5337,5054,6960,9221,8123,5660,8662,7711
"Sepi_DM24B03_00348",13593,16766,16019,22000,28821,25641,17822,27163,24629
"Sepi_DM24B03_00349",52715,52613,54802,56230,75663,69001,43872,57009,49500
"Sepi_DM24B03_00350",2328,2331,2631,370085,455965,445789,342918,225137,253262
"Sepi_DM24B03_00351",5598,7454,6752,157298,178934,173231,159320,139667,136497
"Sepi_DM24B03_00352",531102,471111,474127,358469,479658,433009,386035,471938,388816
"Sepi_DM24B03_00353",62676,53315,51969,63158,93441,85460,47861,83849,72779
