## Fri Jan 13 16:09:18 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cn1ljiia --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_cn1ljiia --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_cn1ljiia/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope auto --target_orthologs all --go_evidence all --pfam_realign denovo --num_servers 2 --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
group_1021	435838.HMPREF0786_00919	4.55e-67	204.0	COG3679@1|root,COG3679@2|Bacteria,1VASS@1239|Firmicutes,4HKKC@91061|Bacilli,4GZ5B@90964|Staphylococcaceae	91061|Bacilli	S	Belongs to the UPF0342 family	yheA	-	-	-	-	-	-	-	-	-	-	-	Com_YlbF
group_244	435838.HMPREF0786_00918	2.29e-294	802.0	COG0420@1|root,COG0420@2|Bacteria,1TWMI@1239|Firmicutes,4HCA0@91061|Bacilli,4GWY1@90964|Staphylococcaceae	91061|Bacilli	L	DNA repair exonuclease	yhaO	-	-	ko:K03547	-	-	-	-	ko00000,ko03400	-	-	-	Metallophos
group_8	435838.HMPREF0786_00917	0.0	1848.0	COG4717@1|root,COG4717@2|Bacteria,1TQP3@1239|Firmicutes,4HBCA@91061|Bacilli,4GX3H@90964|Staphylococcaceae	91061|Bacilli	D	AAA domain	yhaN	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	AAA_27
yhaM	435838.HMPREF0786_00916	1.97e-227	626.0	COG3481@1|root,COG3481@2|Bacteria,1TPIU@1239|Firmicutes,4HB1M@91061|Bacilli,4GXGT@90964|Staphylococcaceae	91061|Bacilli	S	Metal dependent phosphohydrolases with conserved 'HD' motif.	yhaM	GO:0000175,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004527,GO:0004532,GO:0004540,GO:0005488,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0016796,GO:0016896,GO:0022613,GO:0031123,GO:0031125,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043628,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090503,GO:0097159,GO:0140098,GO:1901360,GO:1901363	-	ko:K03698	-	-	-	-	ko00000,ko01000,ko03019	-	-	-	HD,tRNA_anti-codon
group_356	435838.HMPREF0786_00915	2.44e-206	574.0	COG0760@1|root,COG0760@2|Bacteria,1TX3R@1239|Firmicutes,4HFBB@91061|Bacilli,4GXNB@90964|Staphylococcaceae	91061|Bacilli	M	peptidyl-prolyl isomerase	prsA	GO:0000413,GO:0003674,GO:0003755,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016853,GO:0016859,GO:0018193,GO:0018208,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0071704,GO:0071944,GO:0140096,GO:1901564	5.2.1.8	ko:K07533	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	Rotamase
group_756	435838.HMPREF0786_00914	8.88e-126	358.0	293PD@1|root,2ZR52@2|Bacteria,1V3PX@1239|Firmicutes,4HI32@91061|Bacilli,4GYJZ@90964|Staphylococcaceae	91061|Bacilli	S	Putative zincin peptidase	yhaK	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	DUF3267
group_976	435838.HMPREF0786_00913	8.2e-81	239.0	COG4980@1|root,COG4980@2|Bacteria,1VH4X@1239|Firmicutes,4HQ3M@91061|Bacilli,4GZAB@90964|Staphylococcaceae	91061|Bacilli	S	gas vesicle protein	-	-	-	-	-	-	-	-	-	-	-	-	-
group_917	435838.HMPREF0786_00912	3.15e-98	285.0	COG0537@1|root,COG0537@2|Bacteria,1V9ZJ@1239|Firmicutes,4HIG2@91061|Bacilli,4GYYA@90964|Staphylococcaceae	91061|Bacilli	FG	COG0537 Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	hit	GO:0003674,GO:0003824	-	ko:K02503	-	-	-	-	ko00000,ko04147	-	-	-	HIT
group_589	435838.HMPREF0786_00911	2.39e-174	486.0	COG1131@1|root,COG1131@2|Bacteria,1TQIH@1239|Firmicutes,4HA2B@91061|Bacilli,4GX2Z@90964|Staphylococcaceae	91061|Bacilli	V	ABC transporter, ATP-binding protein	ecsA	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0007154,GO:0008144,GO:0008150,GO:0009292,GO:0009294,GO:0009605,GO:0009653,GO:0009987,GO:0009991,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030154,GO:0030420,GO:0030435,GO:0030554,GO:0031668,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043934,GO:0044764,GO:0048646,GO:0048856,GO:0048869,GO:0050896,GO:0051704,GO:0051716,GO:0071496,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	ko:K01990	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC_tran
group_231	435838.HMPREF0786_00910	4.87e-280	767.0	COG4473@1|root,COG4473@2|Bacteria,1V1VG@1239|Firmicutes,4HG1K@91061|Bacilli,4GY8B@90964|Staphylococcaceae	91061|Bacilli	U	ABC transporter	ecsB	GO:0005575,GO:0005623,GO:0005886,GO:0007154,GO:0008150,GO:0009292,GO:0009294,GO:0009605,GO:0009653,GO:0009987,GO:0009991,GO:0016020,GO:0016021,GO:0030154,GO:0030420,GO:0030435,GO:0031224,GO:0031668,GO:0032502,GO:0043934,GO:0044425,GO:0044464,GO:0044764,GO:0048646,GO:0048856,GO:0048869,GO:0050896,GO:0051704,GO:0051716,GO:0071496,GO:0071944	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	EcsB
traP	435838.HMPREF0786_00909	1.72e-119	341.0	COG2329@1|root,COG2329@2|Bacteria,1V501@1239|Firmicutes,4HHA2@91061|Bacilli,4GYD6@90964|Staphylococcaceae	91061|Bacilli	S	Signal transduction protein	traP	GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0009405,GO:0016020,GO:0016491,GO:0043167,GO:0043169,GO:0044419,GO:0044424,GO:0044464,GO:0046872,GO:0051704,GO:0055114	1.14.99.57	ko:K21481	-	-	-	-	ko00000,ko01000	-	-	-	-
hemE	435838.HMPREF0786_00908	2.68e-252	691.0	COG0407@1|root,COG0407@2|Bacteria,1TR8Q@1239|Firmicutes,4HAXT@91061|Bacilli,4GY6D@90964|Staphylococcaceae	91061|Bacilli	H	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III	hemE	GO:0003674,GO:0003824,GO:0004853,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.1.1.37	ko:K01599	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03197,R04972	RC00872	ko00000,ko00001,ko00002,ko01000	-	-	-	URO-D
hemH	435838.HMPREF0786_00907	6.91e-234	642.0	COG0276@1|root,COG0276@2|Bacteria,1TPKF@1239|Firmicutes,4HAYG@91061|Bacilli,4GXD5@90964|Staphylococcaceae	91061|Bacilli	H	Catalyzes the ferrous insertion into protoporphyrin IX	hemH	GO:0003674,GO:0003824,GO:0004325,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016829,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0043167,GO:0043169,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	4.99.1.1,4.99.1.9	ko:K01772	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R00310,R11329	RC01012	ko00000,ko00001,ko00002,ko01000	-	-	-	Ferrochelatase
hemY	435838.HMPREF0786_00906	0.0	926.0	COG1232@1|root,COG1232@2|Bacteria,1TQ6W@1239|Firmicutes,4HAUG@91061|Bacilli,4GXIT@90964|Staphylococcaceae	91061|Bacilli	H	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX	hemY	GO:0003674,GO:0003824,GO:0004729,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006782,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016491,GO:0016627,GO:0016634,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0046501,GO:0051186,GO:0051188,GO:0055114,GO:0070818,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	1.3.3.15,1.3.3.4	ko:K00231	ko00860,ko01100,ko01110,map00860,map01100,map01110	M00121	R03222,R04178	RC00885	ko00000,ko00001,ko00002,ko01000	-	-	iSB619.SA_RS09325	Amino_oxidase
group_773	435838.HMPREF0786_00905	5.86e-133	376.0	COG3545@1|root,COG3545@2|Bacteria,1V6R4@1239|Firmicutes,4HVF4@91061|Bacilli,4GXHN@90964|Staphylococcaceae	91061|Bacilli	S	Serine hydrolase	-	-	-	ko:K07002	-	-	-	-	ko00000	-	-	-	Ser_hydrolase
menE	435838.HMPREF0786_00849	0.0	914.0	COG0318@1|root,COG0318@2|Bacteria,1TPSX@1239|Firmicutes,4HACS@91061|Bacilli,4GWX4@90964|Staphylococcaceae	91061|Bacilli	H	Belongs to the ATP-dependent AMP-binding enzyme family. MenE subfamily	menE	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0006732,GO:0008144,GO:0008150,GO:0008152,GO:0008756,GO:0009058,GO:0009108,GO:0009233,GO:0009234,GO:0009987,GO:0016405,GO:0016874,GO:0016877,GO:0016878,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042180,GO:0042181,GO:0043167,GO:0043168,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0051186,GO:0051188,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901576,GO:1901661,GO:1901663	6.2.1.26	ko:K01911	ko00130,ko01100,ko01110,map00130,map01100,map01110	M00116	R04030	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000	-	-	-	AMP-binding,AMP-binding_C
yidD	435838.HMPREF0786_00847	5.59e-58	179.0	COG0759@1|root,COG0759@2|Bacteria,1VEIG@1239|Firmicutes,4HPA3@91061|Bacilli,4GZM6@90964|Staphylococcaceae	91061|Bacilli	S	Could be involved in insertion of integral membrane proteins into the membrane	ytjA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K08998	-	-	-	-	ko00000	-	-	-	Haemolytic
group_550	435838.HMPREF0786_00845	9.48e-193	534.0	COG1506@1|root,COG1506@2|Bacteria,1U5SB@1239|Firmicutes,4HB1A@91061|Bacilli,4GYFR@90964|Staphylococcaceae	91061|Bacilli	E	Prolyl oligopeptidase family	ytmA	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901564	-	-	-	-	-	-	-	-	-	-	Peptidase_S9
pckA	435838.HMPREF0786_00844	0.0	1077.0	COG1866@1|root,COG1866@2|Bacteria,1TPQV@1239|Firmicutes,4HAKG@91061|Bacilli,4GXNW@90964|Staphylococcaceae	91061|Bacilli	F	Involved in the gluconeogenesis. Catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP) through direct phosphoryl transfer between the nucleoside triphosphate and OAA	pckA	GO:0000166,GO:0003674,GO:0003824,GO:0004611,GO:0004612,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005996,GO:0006006,GO:0006094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0016051,GO:0016829,GO:0016830,GO:0016831,GO:0017076,GO:0019318,GO:0019319,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0044238,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046364,GO:0046872,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901576	4.1.1.49	ko:K01610	ko00010,ko00020,ko00620,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map00710,map01100,map01110,map01120,map01130,map01200	M00003,M00170	R00341	RC00002,RC02741	ko00000,ko00001,ko00002,ko01000	-	-	iSB619.SA_RS09060,iYO844.BSU30560	PEPCK_ATP
group_246	435838.HMPREF0786_00843	4.91e-284	776.0	COG0192@1|root,COG0192@2|Bacteria,1TPCV@1239|Firmicutes,4HB33@91061|Bacilli,4GXQB@90964|Staphylococcaceae	91061|Bacilli	H	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme	metK	GO:0000166,GO:0003674,GO:0003824,GO:0004478,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006556,GO:0006730,GO:0006732,GO:0006790,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009108,GO:0009987,GO:0016740,GO:0016765,GO:0017076,GO:0017144,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044249,GO:0044272,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046500,GO:0046872,GO:0051186,GO:0051188,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901576	2.5.1.6	ko:K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	R00177,R04771	RC00021,RC01211	ko00000,ko00001,ko00002,ko01000	-	-	-	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N
group_447	435838.HMPREF0786_00842	8.56e-196	545.0	28KA4@1|root,2Z9XI@2|Bacteria,1V7S3@1239|Firmicutes,4HFIE@91061|Bacilli,4GY0S@90964|Staphylococcaceae	91061|Bacilli	S	Nuclease-related domain	-	-	-	-	-	-	-	-	-	-	-	-	NERD
group_500	435838.HMPREF0786_00841	8.84e-205	566.0	COG0656@1|root,COG0656@2|Bacteria,1TPM1@1239|Firmicutes,4HARE@91061|Bacilli,4GXFQ@90964|Staphylococcaceae	91061|Bacilli	S	aldo keto reductase	yvgN	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0016614,GO:0016616,GO:0043892,GO:0055114	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
crcB	435838.HMPREF0786_00839	4.99e-76	227.0	COG0239@1|root,COG0239@2|Bacteria,1VEH7@1239|Firmicutes,4HNI0@91061|Bacilli,4GZP4@90964|Staphylococcaceae	91061|Bacilli	D	Important for reducing fluoride concentration in the cell, thus reducing its toxicity	crcB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015318,GO:0015698,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098656,GO:0098660,GO:0098661,GO:1903424,GO:1903425	-	ko:K06199	-	-	-	-	ko00000,ko02000	1.A.43.1,1.A.43.2,1.A.43.3	-	-	CRCB
group_1085	435838.HMPREF0786_00838	7.72e-58	180.0	29IC4@1|root,3059B@2|Bacteria,1TXX0@1239|Firmicutes,4I6ZK@91061|Bacilli,4GZMF@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_615	435838.HMPREF0786_00837	3.64e-160	449.0	COG0176@1|root,COG0176@2|Bacteria,1TP4Q@1239|Firmicutes,4HA8G@91061|Bacilli,4GX4Y@90964|Staphylococcaceae	91061|Bacilli	H	Transaldolase	tal	-	2.2.1.2	ko:K00616	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007	R01827	RC00439,RC00604	ko00000,ko00001,ko00002,ko01000	-	-	-	TAL_FSA
group_1204	435838.HMPREF0786_00833	4.86e-45	145.0	29ICK@1|root,3059S@2|Bacteria,1TXXG@1239|Firmicutes,4I702@91061|Bacilli,4GZNV@90964|Staphylococcaceae	91061|Bacilli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
group_497	435838.HMPREF0786_00832	5.28e-201	556.0	COG4193@1|root,COG4193@2|Bacteria,1VDC5@1239|Firmicutes,4IPJA@91061|Bacilli,4GYDH@90964|Staphylococcaceae	91061|Bacilli	G	Mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase	-	-	-	-	-	-	-	-	-	-	-	-	Glucosaminidase
group_121	435838.HMPREF0786_00831	0.0	1001.0	COG4529@1|root,COG4529@2|Bacteria,1UZ38@1239|Firmicutes,4HETM@91061|Bacilli,4GYIA@90964|Staphylococcaceae	91061|Bacilli	S	FAD-NAD(P)-binding	-	-	-	-	-	-	-	-	-	-	-	-	NAD_binding_9
